Time,Substream_ID,<ticker>,<vol>,<close>,Critical
35831,49,FEIC,2303,23.93,False
35832,49,FEIM,1400,6.16,False
35833,49,FELE,800,40.58,False
35834,49,FFBC,521,17.2,False
35835,49,FFIC,100,13.71,False
35836,49,FFIN,200,49.48,False
35837,49,FFIV,28100,137.45,False
35838,49,FFNW,700,3.28,False
35839,49,FHCO,3300,5.78,False
35840,49,FIBK,400,14.33,False
35841,49,FINL,13391,18.55,False
35842,49,FISI,200,18.52,False
35843,49,FISV,14407,56.64,False
35844,49,FITB,70173,12.0575,False
35845,49,FIZZ,300,13.11,False
35846,49,FLEX,14873,7.38,False
35847,49,FLIR,6900,27.68,False
35848,49,FLML,200,7.16,False
35849,49,FLWS,300,2.03,False
35850,49,FLXS,100,17.11,False
35851,49,FMBI,73863,9.59,False
35852,49,FMER,2784,17.835,False
35853,49,FNFG,82530,12.45,False
35854,49,FNGN,500,17.01,False
35855,49,FNLC,100,14.42,False
35856,49,FNSR,4100,19.83,False
35857,49,FOLD,2000,4.11,False
35858,49,FONR,2690,1.33,False
35859,49,FORM,1000,9.5701,False
35860,49,FORR,400,35.17,False
35861,49,FOSL,26304,68.2,False
35862,49,FRBK,1300,2.06,False
35863,49,FRED,1120,12.99,False
35864,49,FREE,1200,3.92,False
35865,49,FRME,625,8.6552,False
35866,49,FSBK,100,7.78,False
35867,49,FSFG,600,14.5,False
35868,49,FSGI,200,0.63,False
35869,49,FSLR,5935,127.12,False
35870,49,FSTR,100,35.8,False
35871,49,FSYS,817,35.55,False
35872,49,FTEK,1100,7.36,False
35873,49,FTNT,8265,32.0,False
35874,49,FUBC,100,5.97,False
35875,49,FUEL,400,1.35,False
35876,49,FULT,900,8.82,False
35877,49,FUNC,500,4.01,False
35878,49,FUND,1000,7.238,False
35879,49,FWLT,10000,29.37,False
35880,49,FWRD,100,28.2,False
35881,49,FXEN,509,6.1,False
35882,49,GABC,100,17.68,False
35883,49,GAGA,3000,9.03,False
35884,49,GAIA,800,7.73,False
35885,49,GAIN,1900,7.85,False
35886,49,GAME,3700,5.795,False
35887,49,GASS,100,5.1192,False
35888,49,GBCI,1700,13.39,False
35889,49,GBDC,300,16.62,False
35890,49,GBLI,400,19.39,False
